[temtusr@IEMSLAMSREP02 etllogs]$ cat ecm-IEMSLAMSREP02-11-5-2018.log
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for F033-C-Gv5.0C-IIS-WIN
ERROR : Incomplete data present in SCA for policy F033-C-Gv5.0C-IIS-WIN. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for F033-C-Gv4.0D-DB2-UNX
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0D-DB2-UNX. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for F033-C-Gv4.0D-AIX
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0D-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0D-AIX. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for F033-C-Gv4.0C-W08
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0C-W08. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0C-W08. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0C-W08. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0C-W08. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for F033-C-Gv4.0C-SUDO-UNX
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0C-SUDO-UNX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0C-SUDO-UNX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0C-SUDO-UNX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0C-SUDO-UNX. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for F033-C-Gv4.0C-SAP-WIN
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0C-SAP-WIN. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for F033-C-Gv4.0C-ORACLE-WIN
ERROR : Incomplete data present in SCA for policy F033-C-Gv4.0C-ORACLE-WIN. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for F033-C-Gv3.0L-W12
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0L-W12. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0L-W12. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0L-W12. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0L-W12. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0L-W12. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0L-W12. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0L-W12. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for F033-C-Gv3.0D-ITM-WIN
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0D-ITM-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0D-ITM-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0D-ITM-WIN. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0D-ITM-WIN. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for F033-C-Gv3.0D-ITM-UNX
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0D-ITM-UNX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy F033-C-Gv3.0D-ITM-UNX. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for C060-C-Gv4.0A-AIX
ERROR : Incomplete data present in SCA for policy C060-C-Gv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy C060-C-Gv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy C060-C-Gv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy C060-C-Gv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy C060-C-Gv4.0A-AIX. Skipping the policy!
